Dates,Open,High,Low,Close,Volume
2020-01-22,662986.81164000,669206.83800000,651903.69000000,658912.98276000,29080.55713800
2020-01-23,658944.09807000,659630.15271000,630380.24349000,637827.42732000,48165.94459700
2020-01-24,637827.42732000,647199.96582000,625190.05800000,640444.14900000,41687.52952900
2020-01-25,640443.39009000,641374.57266000,626472.61590000,632974.95678000,25521.15793200
2020-01-26,632931.69891000,654038.50383000,629414.15106000,653800.96500000,31130.48516400
2020-01-27,653754.67149000,683019.00000000,647729.68500000,676004.39487000,53973.54299600
2020-01-28,676004.39487000,713375.40000000,672576.39840000,711418.17111000,74584.85376500
2020-01-29,711503.92794000,717112.27284000,699411.45600000,705902.41323000,53864.06512200
2020-01-30,705905.44887000,726883.99800000,698534.15604000,721967.02011000,60626.74425900
2020-01-31,721838.76432000,723257.92602000,698956.86891000,709800.17499000,45552.02235200
2020-02-01,709710.62361000,718272.64623000,704344.37100000,712207.43751000,28578.06735400
2020-02-02,712192.25931000,719221.28373000,692125.92000000,708177.62541000,45690.91254000
2020-02-03,708183.69669000,729979.59189000,700777.49400000,705197.38584000,50892.13345100
2020-02-04,705129.84285000,709580.85000000,690077.62191000,697971.04482000,53308.17526600
2020-02-05,697971.04482000,739516.05495000,696468.40302000,729467.32764000,64870.41561500
2020-02-06,729466.56873000,748480.29987000,722964.22785000,741606.85200000,64949.70658800
2020-02-07,741606.85200000,750182.53500000,738419.43000000,744773.78343000,43966.11463200
2020-02-08,744784.40817000,754356.54000000,733646.64501000,750945.23955000,43600.84366600
2020-02-09,750944.48064000,771507.90600000,749859.99825000,770426.45925000,43408.47561600
2020-02-10,770424.18252000,773177.50800000,740392.59600000,747665.23053000,59573.08461900
2020-02-11,747658.40034000,783467.56869000,736142.70000000,775839.76428000,62422.39522400
2020-02-12,775839.76428000,793060.95000000,775839.76428000,783685.37586000,61008.06393000
2020-02-13,783599.61903000,796855.50000000,764981.28000000,776336.85033000,79344.35875900
2020-02-14,776196.45198000,787866.96996000,767361.98067000,785043.82476000,47038.48017300
2020-02-15,785043.82476000,787369.12500000,743807.69100000,751679.10552000,57657.20294700
2020-02-16,751659.37386000,762704.55000000,731446.56492000,752631.53757000,60023.99953700
2020-02-17,752132.93370000,756190.06656000,717372.57897000,736598.04600000,70261.01190100
2020-02-18,736598.04600000,777882.75000000,726732.97491000,771410.00661000,70604.12401900
2020-02-19,771415.31898000,777882.75000000,709580.85000000,728082.31689000,55162.58689500
2020-02-20,728147.58315000,736066.80900000,713375.40000000,728281.91022000,60152.34291400
2020-02-21,728341.86411000,740355.40941000,724774.98711000,734401.00155000,42181.55452400
2020-02-22,734401.00155000,736838.62047000,725519.47782000,732413.41626000,24636.75762300
2020-02-23,732412.65735000,758151.09000000,731968.69500000,754083.33240000,37702.08984300
2020-02-24,754083.33240000,758151.09000000,718957.94196000,732813.36183000,55796.59612000
2020-02-25,732767.06832000,734245.42500000,701991.75000000,706988.41344000,54379.34455200
2020-02-26,707036.98368000,711663.29904000,655214.81433000,666721.40775000,92130.34548200
2020-02-27,666778.32600000,680876.59707000,647426.12100000,669602.23011000,72483.57876200
2020-02-28,669605.26575000,675429.90000000,640899.49500000,659713.63281000,71155.20897700
2020-02-29,659553.50280000,667081.89000000,646860.73305000,646865.28651000,36748.18303500
2020-03-01,646865.28651000,664046.25000000,638319.20100000,647492.90508000,43892.20177900
2020-03-02,647372.99730000,680419.73325000,644921.71800000,676586.47884000,60401.31773000
2020-03-03,676278.36138000,676921.15815000,656533.04100000,664810.47237000,55154.99728200
2020-03-04,664810.47237000,671505.57639000,657216.06000000,664112.27517000,38696.48257800
2020-03-05,664121.38209000,695117.54322000,663783.66714000,687168.71988000,58201.86635500
2020-03-06,687165.68424000,695920.47000000,681918.58050000,693027.50508000,43782.94804400
2020-03-07,692952.37299000,697286.50800000,670496.98500000,674417.51406000,45422.20452500
2020-03-08,674310.50775000,674425.10316000,607128.00000000,609655.92921000,77537.31516600
2020-03-09,609765.97116000,620736.01521000,579200.87091000,601805.76417000,116968.86326800
2020-03-10,601805.76417000,618435.75900000,586486.40691000,599126.05296000,86783.44387500
2020-03-11,599126.81187000,605610.18000000,576012.69000000,602158.65732000,79942.41117200
2020-03-12,602163.21078000,604560.60747000,334679.31000000,364276.80000000,261505.60865300
2020-03-13,364277.55891000,451930.90500000,287029.62783000,423365.53260000,402201.67376400
2020-03-14,423172.01055000,428064.70332000,383638.87083000,392512.80546000,136910.13597400
2020-03-15,392544.67968000,450792.54000000,386520.45210000,406874.41830000,139916.14653400
2020-03-16,406800.80403000,407187.08922000,337116.92892000,381653.56227000,227276.92276000
2020-03-17,381645.21426000,419297.77500000,373493.76195000,403181.56224000,150089.92631800
2020-03-18,403181.56224000,412556.37747000,380166.09867000,409283.19864000,137127.63489400
2020-03-19,409299.89466000,485702.40000000,398619.75423000,467668.42167000,199020.87343900
2020-03-20,467644.13655000,523647.90000000,430301.97000000,471158.64876000,219298.32951400
2020-03-21,470871.02187000,490026.66918000,444722.77782000,469536.09918000,128913.66836300
2020-03-22,469540.65264000,486299.66217000,435159.75291000,441396.47529000,119115.99052700
2020-03-23,441385.85055000,500880.60000000,431668.00800000,490810.62321000,164674.21578500
2020-03-24,490654.28775000,518563.20300000,483526.60503000,511863.54552000,151138.00987800
2020-03-25,511861.26879000,528046.54236000,489496.95000000,506756.84013000,132155.73498900
2020-03-26,506756.08122000,514540.98000000,494050.41000000,511304.98776000,83026.55521100
2020-03-27,511298.15757000,519290.99769000,475153.55100000,482599.21701000,82914.96835400
2020-03-28,482599.21701000,482666.76000000,457167.38400000,473305.60515000,93159.69342900
2020-03-29,473305.60515000,475533.00600000,445219.10496000,446346.84522000,63311.62771400
2020-03-30,446277.02550000,500804.70900000,444551.26416000,485275.89258000,118889.54999200
2020-03-31,485281.20495000,495054.44793000,479737.36740000,486494.70204000,72337.59525900
2020-04-01,486623.71674000,506947.32654000,466737.99801000,504137.84172000,97500.75240000
2020-04-02,504171.23376000,546263.41800000,497161.94100000,515610.28419000,149299.90687100
2020-04-03,515592.82926000,534879.76800000,501039.97110000,511057.58310000,104080.27693900
2020-04-04,510971.82627000,530509.20531000,504675.90891000,520383.82809000,72990.86113900
2020-04-05,520415.70231000,523309.42614000,506763.67032000,513993.04698000,49685.35698300
2020-04-06,513993.04698000,558188.92974000,513402.61500000,556273.44090000,118052.00083200
2020-04-07,556273.44090000,566123.33379000,537080.60700000,546211.81212000,103585.16891800
2020-04-08,546211.81212000,563111.22000000,542620.65000000,558654.90048000,76059.14583800
2020-04-09,558577.49166000,559462.38072000,539439.29928000,552755.13414000,61094.87241700
2020-04-10,552755.13414000,553681.76325000,511503.82218000,520530.29772000,104674.62337500
2020-04-11,520530.29772000,527009.87130000,513023.16000000,521889.50553000,45470.29320600
2020-04-12,521890.26444000,544669.70700000,514540.98000000,523935.52689000,73868.66650100
2020-04-13,523935.52689000,523935.52689000,498983.32500000,518935.82781000,96415.47657300
2020-04-14,518945.69364000,529567.39800000,512589.06348000,521272.51170000,69068.62328500
2020-04-15,521262.64587000,526152.30300000,501260.05500000,502492.52484000,61571.38499400
2020-04-16,502493.28375000,545656.29000000,490883.47857000,538973.32854000,125009.85753900
2020-04-17,538977.12309000,542477.97492000,529186.42518000,533327.79705000,54126.50976300
2020-04-18,533269.36098000,553479.13428000,532329.83040000,550103.50260000,49488.54281900
2020-04-19,550103.50260000,551435.38965000,535456.53960000,540400.07934000,45664.86393000
2020-04-20,540450.16740000,547933.02000000,512340.14100000,518094.95553000,90149.49137000
2020-04-21,518258.12118000,526683.54000000,513174.94200000,519198.41067000,60109.71080800
2020-04-22,519197.65176000,543104.83458000,517424.83800000,540733.99974000,61486.37733400
2020-04-23,540732.48192000,587244.55800000,532754.82000000,567846.05949000,102773.56956100
2020-04-24,567965.20836000,577982.82036000,560682.70800000,569561.95500000,60182.11993900
2020-04-25,569561.95500000,584740.15500000,563951.33337000,572117.20497000,43874.42772600
2020-04-26,572144.52573000,584360.70000000,567664.68000000,583837.05210000,50522.61620900
2020-04-27,583837.05210000,591344.18982000,577226.94600000,590023.68642000,65441.33957600
2020-04-28,589939.44741000,590431.98000000,581258.27592000,587318.93118000,46302.75263800
2020-04-29,587288.57478000,679443.77499000,585123.40455000,666214.45587000,183546.88751400
2020-04-30,666215.21478000,717928.86000000,637560.29100000,654180.42000000,206277.21412400
2020-05-01,654180.42000000,687510.22938000,653691.68196000,669886.82136000,91468.81505900
2020-05-02,669788.92197000,683777.91000000,664273.92300000,680897.84655000,59002.08755000
2020-05-03,680938.06878000,698197.20000000,661162.39200000,674986.69656000,90126.06564300
2020-05-04,674985.93765000,679224.45000000,646743.10200000,673301.91636000,84418.51233100
2020-05-05,673298.88072000,692018.15478000,664805.16000000,684675.70053000,76480.76534200
2020-05-06,684640.03176000,712995.94500000,675901.18311000,693865.34172000,105925.30242000
2020-05-07,693901.76940000,763994.69700000,684612.71100000,757877.88240000,147154.61137800
2020-05-08,757870.29330000,761639.04036000,736522.15500000,743732.55891000,100683.79640000
2020-05-09,743733.31782000,752402.34675000,722482.32000000,723954.60540000,81950.67956700
2020-05-10,723931.83810000,726643.42353000,616007.24700000,661979.73807000,183865.18202800
2020-05-11,661979.73807000,695768.68800000,622306.20000000,649742.31432000,168807.25183200
2020-05-12,649781.77764000,681369.12966000,647257.64298000,668659.66389000,86522.78006600
2020-05-13,668674.84209000,713223.61800000,667308.80409000,706497.39867000,92466.27401800
2020-05-14,706495.88085000,754280.64900000,702504.77316000,743123.15418000,129565.37747000
2020-05-15,743122.39527000,747193.94742000,694402.65000000,707032.43022000,115890.76151600
2020-05-16,706997.52036000,727642.90800000,699715.02000000,711953.96157000,59587.62786200
2020-05-17,711919.05171000,750410.20800000,707463.49110000,734627.91564000,68647.76432300
2020-05-18,734709.11901000,755115.45000000,718249.87893000,738717.68163000,82006.60358300
2020-05-19,738717.68163000,751109.16411000,718991.33400000,741874.74723000,78539.76045400
2020-05-20,741844.39083000,746919.22200000,707759.46600000,721831.93413000,74923.73809000
2020-05-21,721831.93413000,726919.66677000,668979.16500000,688228.91715000,108928.78096900
2020-05-22,688142.40141000,703585.46100000,677973.76632000,695920.47000000,58943.13102400
2020-05-23,695920.47000000,706382.04435000,688331.37000000,696614.87265000,43526.29696600
2020-05-24,696604.24791000,705634.51800000,660251.70000000,661795.32294000,70379.86645000
2020-05-25,661628.36274000,681475.37706000,655904.66352000,675456.46185000,62833.91094900
2020-05-26,675456.46185000,684359.99397000,660251.70000000,670965.99138000,58299.77013800
2020-05-27,670952.33100000,700094.47500000,668731.00143000,698506.07637000,68910.35551400
2020-05-28,698506.07637000,730486.54377000,691367.01000000,726723.86799000,74110.78766200
2020-05-29,726722.35017000,728952.78666000,708063.03000000,715429.76937000,57374.36296100
2020-05-30,715394.10060000,739178.34000000,708156.37593000,735969.66852000,55665.27254000
2020-05-31,735969.66852000,736142.70000000,711964.58631000,717038.65857000,48333.78640300
2020-06-01,717038.65857000,787748.58000000,715019.95797000,774146.63607000,76649.12696000
2020-06-02,774293.86461000,776288.28009000,703206.00600000,722333.57364000,108970.77315100
2020-06-03,722332.05582000,735383.79000000,710735.15211000,733580.61984000,46252.64493900
2020-06-04,733586.69112000,749926.78233000,717169.95000000,742901.55246000,57456.10096900
2020-06-05,742831.73274000,747886.83225000,727111.67100000,730159.45356000,47788.05005000
2020-06-06,730160.21247000,738798.88500000,723320.91555000,733585.17330000,32752.95089300
2020-06-07,733626.91335000,743883.58200000,711285.36186000,739708.81809000,57952.84838500
2020-06-08,739708.81809000,743731.80000000,731058.00300000,742366.52091000,40664.66412500
